cell_type	target	binding	perb_score
Late_Braak_Sst_Chodl	BIN1	agonist	9.11851232285686e-10
Late_Braak_OPC	BIN1	agonist	5.31508947833056e-10
Late_Braak_Oligodendrocyte	BIN1	agonist	2.2605067768265e-10
Late_Braak_Pax6	BIN1	agonist	8.96228355019531e-10
Late_Braak_Pvalb	BIN1	agonist	6.16119042721426e-10
Late_Braak_Sncg	BIN1	agonist	9.29382962947956e-10
Late_Braak_Sst	BIN1	agonist	1.58911392161511e-10
Late_Braak_VLMC	BIN1	agonist	7.93318978636562e-10
Late_Braak_Vip	BIN1	agonist	4.72536550932942e-11
Early_Braak_L6_IT_Car3	BDNF	agonist	5.48591463738095e-10
Early_Braak_L4_IT	BDNF	agonist	1.68339634094746e-09
